"array size", "MapReduce", "std::sort"
100000,4029,7139
100000,3160,6415
100000,3532,8455
100000,4488,6585
100000,3169,7883
100000,3036,6408
100000,3033,7365
100000,3218,6593
100000,3843,7365
100000,2978,6445
100000,2993,8073
100000,3003,6435
100000,3004,7062
100000,3043,6485
100000,3003,7483
100000,2987,6565
100000,3141,7955
100000,3515,6336
100000,2992,7372
100000,3018,6611
100000,3274,7889
100000,3147,6803
100000,3163,7287
100000,4032,6511
100000,3171,7724
100000,3039,6468
100000,3022,7135
100000,3017,6472
100000,3611,7552
100000,4027,6462
100000,3419,8084
100000,3242,6589
100000,3065,8018
100000,3184,6421
100000,3409,7469
100000,3075,6537
100000,4350,7244
100000,4219,6557
100000,3229,7185
100000,4927,7288
100000,4306,6889
100000,3114,6621
100000,3028,7679
100000,4064,6554
100000,3910,7275
100000,2987,6671
100000,3386,6888
100000,3928,6679
100000,3179,7324
100000,3002,6557
100000,3137,6939
100000,3533,6662
100000,3003,7551
100000,4051,6453
100000,3031,7130
100000,3903,6447
100000,4314,7046
100000,4018,6429
100000,3058,7292
100000,3646,6583
100000,3112,6983
100000,3043,6486
100000,3182,7151
100000,4149,6685
100000,3173,7067
100000,3002,6564
100000,3570,6968
100000,3186,6388
100000,3005,6841
100000,3143,6541
100000,4171,6755
100000,3044,6450
100000,3022,7061
100000,3004,6411
100000,3144,7378
100000,3066,6495
100000,3001,7440
100000,3600,6438
100000,3538,6885
100000,3033,6452
100000,4222,7150
100000,3005,6554
100000,3131,7128
100000,3072,6511
100000,3110,7338
100000,3990,6415
100000,3037,7176
100000,3009,6461
100000,2994,7033
100000,3988,6430
100000,3089,7293
100000,3073,6453
100000,3095,7239
100000,3040,6431
100000,3051,7510
100000,4020,6370
100000,3031,7664
100000,3408,6358
100000,3065,7144
100000,3954,6715
200000,9640,13507
200000,7177,14520
200000,7602,16057
200000,6121,15025
200000,6267,14016
200000,6433,14505
200000,8052,14585
200000,6232,14345
200000,6146,14528
200000,6642,14421
200000,7922,16862
200000,10715,18475
200000,10152,18175
200000,6286,14458
200000,6236,14370
200000,6110,14512
200000,6360,14538
200000,6227,14001
200000,6202,14162
200000,7726,14688
200000,6237,14550
200000,6348,14389
200000,7942,14588
200000,6230,14469
200000,6185,14154
200000,6295,14251
200000,7964,14451
200000,6518,14074
200000,6194,14126
200000,6167,13988
200000,8171,14147
200000,6167,14340
200000,6067,14224
200000,7792,14494
200000,6213,14425
200000,6141,14150
200000,6104,14266
200000,8328,14695
200000,6511,14394
200000,6718,14423
200000,6340,14818
200000,6232,14389
200000,6197,14808
200000,6271,14530
200000,6185,14188
200000,6197,14663
200000,7985,14139
200000,6157,14396
200000,6180,14295
200000,9952,14617
200000,6264,14367
200000,6150,14391
200000,6726,14646
200000,7045,14153
200000,6166,14504
200000,6167,14577
200000,6196,14319
200000,6243,14308
200000,6143,15056
200000,6167,14387
200000,7601,14497
200000,6288,14284
200000,6135,13738
200000,6702,14112
200000,6125,14227
200000,6298,14432
200000,6136,14325
200000,6223,14437
200000,6139,14090
200000,6245,14305
200000,6186,14372
200000,6270,14169
200000,6229,14579
200000,6292,14595
200000,6117,14294
200000,6125,14515
200000,7871,14418
200000,6227,15105
200000,6615,14487
200000,6320,14569
200000,6211,14386
200000,7978,14448
200000,6366,14426
200000,6157,14343
200000,6112,14657
200000,6447,14628
200000,6203,14490
200000,6208,14711
200000,6226,14521
200000,7180,14951
200000,6165,14010
200000,8175,14360
200000,6077,14190
200000,6320,14164
200000,8216,13937
200000,6162,14038
200000,6131,14345
200000,6181,14610
200000,6201,14242
200000,6182,14352
400000,14567,29010
400000,13493,28836
400000,13387,29551
400000,13514,29673
400000,13333,29314
400000,13348,28939
400000,13361,29508
400000,13135,29114
400000,13348,29633
400000,13605,28553
400000,13701,29344
400000,13715,28966
400000,13371,29400
400000,13504,29419
400000,14109,31822
400000,14282,28727
400000,13961,29326
400000,13341,29013
400000,13388,28783
400000,13320,29002
400000,13357,28891
400000,13342,28862
400000,13782,28165
400000,13704,28848
400000,13768,29170
400000,13988,29059
400000,13744,28997
400000,13767,28509
400000,13717,29954
400000,13686,29584
400000,13861,28947
400000,13644,28933
400000,13268,28800
400000,13347,29832
400000,15934,28887
400000,13924,29228
400000,13450,29306
400000,13655,28839
400000,14424,28309
400000,13725,29067
400000,13495,28900
400000,13747,28827
400000,13364,28887
400000,13316,28823
400000,13693,28898
400000,13748,28699
400000,13710,28429
400000,13795,28366
400000,13132,29443
400000,13928,29273
400000,13354,28725
400000,13503,29035
400000,13282,28856
400000,13356,28865
400000,15484,29028
400000,13691,28922
400000,14158,28639
400000,13755,28617
400000,13694,28915
400000,13717,28457
400000,13826,28861
400000,13733,28975
400000,13786,28713
400000,13241,28481
400000,13562,28958
400000,13763,28525
400000,13359,28633
400000,13715,28685
400000,13884,28803
400000,13988,29157
400000,13695,28773
400000,13733,28780
400000,16809,28655
400000,13688,29639
400000,13927,28629
400000,13434,29544
400000,13323,28952
400000,13426,28341
400000,13544,28793
400000,13324,28827
400000,13679,28569
400000,13750,28680
400000,13297,28649
400000,13329,28681
400000,13277,28685
400000,13718,29114
400000,13873,28693
400000,13317,28758
400000,13526,29549
400000,14425,28823
400000,13731,29076
400000,13338,28609
400000,13725,29025
400000,13969,30143
400000,13931,29219
400000,14136,28965
400000,13769,28923
400000,13247,29414
400000,13359,28868
400000,14296,28589
